constraint0,constraint1,level,step
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",0,0
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (int.parse (str.substr s 0 (str.indexof s ""-""))) 0) (> (int.parse (str.substr s 0 (str.indexof s ""-""))) 2025)))",0,1
"(or (not (str.contains s ""-"")) (and (= (str.count s ""-"") 1) (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (>= (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",0,2
"(or (not (str.contains s ""-"")) (= (str.count (str.to.re s) ""-"") 1) (> (str.count (str.to.re s) ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",0,3
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",0,4
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",0,5
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",1,6
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",1,7
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",1,8
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",1,9
