name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".","(= (str.at s 0) ""/"")"
Absolute_Path,True,The absolute path shall not contain any spaces.,"(not (str.contains s "" ""))"
Absolute_Path,True,"The absolute path shall not end with ""/"".","(not (= (str.at s (- (str.len s) 1)) ""/""))"
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.","(not (str.in.re s (re.++ (re.* re.allchar) (str.to.re ""//"") (re.* re.allchar))))"
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".","(not (= (str.at s 0) ""/""))"
Absolute_Path,False,The absolute path shall contain at least one space.,"(str.contains s "" "")"
Absolute_Path,False,"The absolute path shall end with ""/"".","(str.suffixof ""/"" s)"
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.","(str.in.re s (re.++ (re.* re.allchar) (str.to.re ""//"") (re.* re.allchar)))"
Date,True,The date shall contain two hyphens.,"(= (str.len (str.replace_all s ""-"" """")) (- (str.len s) 2))"
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.","(=> (s.contains s ""-"") (and (>= (s.to.int (s.subs s 0 (s.indexof s ""-"" 0))) 0) (<= (s.to.int (s.subs s 0 (s.indexof s ""-"" 0))) 2025)))"
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.","(let ((first_hyphen (str.indexof s ""-"" 0)) (let ((second_hyphen (str.indexof s ""-"" (+ first_hyphen 1)))) (=> (and (>= first_hyphen 0) (>= second_hyphen 0)) (let ((substring (str.substr s (+ first_hyphen 1) (- second_hyphen first_hyphen 1)))) (and (str.in.re substring (re.++ (re.range ""0"" ""9"") (re.* (re.range ""0"" ""9"")))) (let ((num (str.to.int substring))) (and (>= num 1) (<= num 12))))))"
