name,mask,constraint,result
Absolute_Path,True,"The absolute path shall start with the root directory ""/"".","(= (str.at s 0) ""/"")"
Absolute_Path,True,The absolute path shall not contain any spaces.,"(not (str.contains s "" ""))"
Absolute_Path,True,"The absolute path shall not end with ""/"".","(not (= (str.at s (- (str.len s) 1)) ""/""))"
Absolute_Path,True,"The absolute path shall not contain consecutive ""/"" characters.","(not (str.contains s ""//""))"
Absolute_Path,False,"The absolute path shall not start with the root directory ""/"".","(not (= (str.at s 0) ""/""))"
Absolute_Path,False,The absolute path shall contain at least one space.,"(str.contains s "" "")"
Absolute_Path,False,"The absolute path shall end with ""/"".","(= (str.at s (- (str.len s) 1)) ""/"")"
Absolute_Path,False,"The absolute path shall contain consecutive ""/"" characters.","(str.contains s ""//"")"
Date,True,The date shall contain two hyphens.,"(= (str.count s ""-"") 2)"
Date,True,"If there is at least one hyphen, the part before the hyphen shall be a number between 0 and 2025.","(=> (>= (str.count s ""-"") 1) (and (>= (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (<= (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))"
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.","(=> (>= (str.count s ""-"") 2) (and (>= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1))) 12)))"
Date,True,"If there are at least two hyphen, The part after the second hyphen shall be a number between 1 and 31.","(=> (>= (str.count s ""-"") 2) (and (>= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1) (str.length s))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1) (str.length s))) 31)))"
Date,False,"The date shall contain either no hyphens, one hyphen or more than two hyphens.","(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))"
Date,False,There must be at least one hyphen and the part before the hyphen shall not be a number between 0 and 2025.,"(and (>= (str.count s ""-"") 1) (not (and (str.contains s ""-"") (<= (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025))))"
