name,mask,nl_constraint,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19
Name,True,"The name shall only contain letters a-z, letters A-Z and space characters.","(str.in.re s (re.+ (re.union (str.to.re ""[a-zA-Z]"") (str.to.re "" ""))))","(forall ((c String)) (=> (str.contains s c) (or (and (str.in.re c (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z""))) (not (str.contains c "" ""))) (str.contains c "" ""))))","(forall ((c String)) (=> (str.contains s c) (or (and (str.in.re c re.lower) (str.length c 1)) (and (str.in.re c re.upper) (str.length c 1)) (and (str.equals c "" "")))))","(and (forall ((c String)) (=> (str.contains s c) (or (and (str.isDigit c) (>= (str.toInt c) 0) (<= (str.toInt c) 9)) (or (and (str.ge c ""a"") (str.le c ""z"")) (and (str.ge c ""A"") (str.le c ""Z"")) (str.eq c "" ""))))))","(str.in.re s (re.+ (re.union (str.to.re ""[a-zA-Z]"") (str.to.re "" ""))))","(str.in.re s (re.+ (str.to.re ""[a-zA-Z ]"")))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(and (str.in.re s (re.+ (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))"
Name,True,The name shall contain at least one space character.,"(str.contains s "" "")","(str.contains s "" "")","(exists ((i Int)) (and (>= i 0) (str.length s i) (str.contains s "" ""))) ","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")","(str.contains s "" "")"
Name,True,The name shall not end with a space character.,"(not (str.contains s "" ""))","(not (str.endsWith s "" ""))","(not (= (str.at s (- (str.length s) 1)) "" ""))","(not (str.endsWith s "" ""))","(not (str.endsWith s "" ""))","(not (str.endsWith s "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s (- (str.len s) 1)) "" ""))"
Name,True,The name shall not start with a space character.,"(not (= (str.at s 0) "" ""))","(not (str.startsWith s "" ""))","(not (= (str.at s 0) "" ""))","(not (str.startsWith s "" ""))","(not (str.startsWith s "" ""))","(not (str.startsWith s "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))","(not (= (str.at s 0) "" ""))"
Name,False,"The name shall not contain letters a-z, letters A-Z and spaces.","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (or (str.contains s ""a"") (str.contains s ""b"") (str.contains s ""c"") (str.contains s ""d"") (str.contains s ""e"") (str.contains s ""f"") (str.contains s ""g"") (str.contains s ""h"") (str.contains s ""i"") (str.contains s ""j"") (str.contains s ""k"") (str.contains s ""l"") (str.contains s ""m"") (str.contains s ""n"") (str.contains s ""o"") (str.contains s ""p"") (str.contains s ""q"") (str.contains s ""r"") (str.contains s ""s"") (str.contains s ""t"") (str.contains s ""u"") (str.contains s ""v"") (str.contains s ""w"") (str.contains s ""x"") (str.contains s ""y"") (str.contains s ""z"") (str.contains s ""A"") (str.contains s ""B"") (str.contains s ""C"") (str.contains s ""D"") (str.contains s ""E"") (str.contains s ""F"") (str.contains s ""G"") (str.contains s ""H"") (str.contains s ""I"") (str.contains s ""J"") (str.contains s ""K"") (str.contains s ""L"") (str.contains s ""M"") (str.contains s ""N"") (str.contains s ""O"") (str.contains s ""P"") (str.contains s ""Q"") (str.contains s ""R"") (str.contains s ""S"") (str.contains s ""T"") (str.contains s ""U"") (str.contains s ""V"") (str.contains s ""W"") (str.contains s ""X"") (str.contains s ""Y"") (str.contains s ""Z"") (str.contains s "" ""))) ","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.matches s (str.to.re ""[a-zA-Z ]*"")))","(not (or (str.contains s "" "") (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"")))))",(not (str.contains s (str.from_char_list (list 'a' 'b' 'c' 'd' 'e' 'f' 'g' 'h' 'i' 'j' 'k' 'l' 'm' 'n' 'o' 'p' 'q' 'r' 's' 't' 'u' 'v' 'w' 'x' 'y' 'z'))))),"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))","(not (str.matches s (str.to.re ""[a-zA-Z ]*"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ ""))","(assert (not (str.in_re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))"
Name,False,The name shall contain no space character.,"(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z""))))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(assert (not (str.contains s "" "")))"
Name,False,The name shall end with a space character.,"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(str.endsWith s "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(str.endsWith s "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(str.endsWith s "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(assert (= (str.at s (- (str.len s) 1)) "" ""))"
Name,False,The name shall start  with a space character.,"(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(str.startsWith s "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(str.startsWith s "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(str.startsWith s "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(assert (= (str.at s 0) "" ""))"
Email,True,The email shall not contain a space character.,"(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))"
Email,True,The email shall not start with a @ character.,"(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))"
