constraint0,constraint1,constraint2,constraint3,level,step
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,0
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,1
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,2
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,3
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,4
"(not (str.contains s "" ""))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z""))))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,5
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(str.endsWith s "" "")","(str.startsWith s "" "")",0,6
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,7
"(not (or (str.contains s ""a"") (str.contains s ""b"") (str.contains s ""c"") (str.contains s ""d"") (str.contains s ""e"") (str.contains s ""f"") (str.contains s ""g"") (str.contains s ""h"") (str.contains s ""i"") (str.contains s ""j"") (str.contains s ""k"") (str.contains s ""l"") (str.contains s ""m"") (str.contains s ""n"") (str.contains s ""o"") (str.contains s ""p"") (str.contains s ""q"") (str.contains s ""r"") (str.contains s ""s"") (str.contains s ""t"") (str.contains s ""u"") (str.contains s ""v"") (str.contains s ""w"") (str.contains s ""x"") (str.contains s ""y"") (str.contains s ""z"") (str.contains s ""A"") (str.contains s ""B"") (str.contains s ""C"") (str.contains s ""D"") (str.contains s ""E"") (str.contains s ""F"") (str.contains s ""G"") (str.contains s ""H"") (str.contains s ""I"") (str.contains s ""J"") (str.contains s ""K"") (str.contains s ""L"") (str.contains s ""M"") (str.contains s ""N"") (str.contains s ""O"") (str.contains s ""P"") (str.contains s ""Q"") (str.contains s ""R"") (str.contains s ""S"") (str.contains s ""T"") (str.contains s ""U"") (str.contains s ""V"") (str.contains s ""W"") (str.contains s ""X"") (str.contains s ""Y"") (str.contains s ""Z"") (str.contains s "" ""))) ","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,8
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(str.endsWith s "" "")","(str.startsWith s "" "")",0,9
"(not (str.matches s (str.to.re ""[a-zA-Z ]*"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,10
"(not (or (str.contains s "" "") (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"")))))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,11
(not (str.contains s (str.from_char_list (list 'a' 'b' 'c' 'd' 'e' 'f' 'g' 'h' 'i' 'j' 'k' 'l' 'm' 'n' 'o' 'p' 'q' 'r' 's' 't' 'u' 'v' 'w' 'x' 'y' 'z'))))),"(not (str.contains s "" ""))","(str.endsWith s "" "")","(str.startsWith s "" "")",0,12
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,13
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,14
"(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,15
"(not (str.matches s (str.to.re ""[a-zA-Z ]*"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,16
"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,17
"(not (str.contains s ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ ""))","(not (str.contains s "" ""))","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",0,18
"(assert (not (str.in_re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" "")))))","(assert (not (str.contains s "" "")))","(assert (= (str.at s (- (str.len s) 1)) "" ""))","(assert (= (str.at s 0) "" ""))",0,19
