constraint0,constraint1,constraint2,constraint3,level,step
"(or (not (str.contains s ""-"")) (and (not (str.contains s ""-"")) (str.contains s ""-"")))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (and (str.contains s ""-"") (str.indexof s ""-"" 1)) (or (< s 1) (> s 12)))","(=> (and (str.contains s ""-"") (str.indexof s ""-"" 2)) (or (< s 1) (> s 31)))",0,0
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-"" 0))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-"" 0))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" 0) (- (str.indexof s ""-"" 1) (str.indexof s ""-"" 0)))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" 0) (- (str.indexof s ""-"" 1) (str.indexof s ""-"" 0)))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" 1) (- (str.length s) (str.indexof s ""-"" 1)))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" 1) (- (str.length s) (str.indexof s ""-"" 1)))) 31)))",0,1
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 12)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 31)))",0,2
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1) (str.length s))) 31)))",0,3
"(let ((s (str.count s ""-""))) (or (= s 0) (= s 1) (> s 2)))","(=> (>= (str.count s ""-"") 1) (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 12)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 31)))",0,4
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.substr s 0 (str.indexof s ""-"")))))) (and (str.contains s ""-"") (>= (str.count s ""-"") 2)))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 1) (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 12))))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 31)))",0,5
"(or (not (str.contains s ""-"")) (and (not (str.contains s ""-"")) (not (str.contains s ""-""))) (str.contains s ""-"")) (>= (str.count s ""-"") 1))","(=> (>= (str.count s ""-"") 1) (or (< s 0) (> s 2025)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 12)))","(=> (>= (str.count s ""-"") 2) (or (< s 1) (> s 31)))",0,6
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (int (str.substr s 0 (str.indexof s ""-""))) 0) (> (int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 1) (> (int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-""))) (str.length s)) 1) (> (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-""))) (str.length s)) 31)))",0,7
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-""))) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 0) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-""))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")) (str.length s))) 31)))",0,8
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (str.contains s ""-""))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (and (str.contains s ""-"") (str.indexof s ""-"" 1) (str.indexof s ""-"" 2)) (or (< s 1) (> s 12)))","(=> (and (str.contains s ""-"") (str.indexof s ""-"" 1) (str.indexof s ""-"" 2)) (or (< s 1) (> s 31)))",0,9
