name,result,truth_masks
Name,John Doe,"(True, True, True, True, True, True)"
Name,Hello world,"(True, True, True, True, True, False)"
Name,john Doe Smith,"(True, True, True, True, False, True)"
Name,hello world,"(True, True, True, True, False, False)"
Name, Hello World,"(True, True, True, False, True, True)"
Name, A b,"(True, True, True, False, True, False)"
Name,UNSAT,"(True, True, True, False, False, True)"
Name, hello world,"(True, True, True, False, False, False)"
Name,A B C ,"(True, True, False, True, True, True)"
Name,John doe ,"(True, True, False, True, True, False)"
Name,a B C D ,"(True, True, False, True, False, True)"
Name,a b ,"(True, True, False, True, False, False)"
Name, John Doe ,"(True, True, False, False, True, True)"
Name, A b ,"(True, True, False, False, True, False)"
Name, hello World ,"(True, True, False, False, False, True)"
Name, hello world ,"(True, True, False, False, False, False)"
Name,UNSAT,"(True, False, True, True, True, True)"
Name,UNSAT,"(True, False, True, True, True, False)"
Name,example,"(True, False, True, True, False, True)"
Name,UNSAT,"(True, False, True, True, False, False)"
Name,UNSAT,"(True, False, True, False, True, True)"
Name,UNSAT,"(True, False, True, False, True, False)"
Name,UNSAT,"(True, False, True, False, False, True)"
Name,UNSAT,"(True, False, True, False, False, False)"
Name,UNSAT,"(True, False, False, True, True, True)"
Name,UNSAT,"(True, False, False, True, True, False)"
Name,UNSAT,"(True, False, False, True, False, True)"
Name,UNSAT,"(True, False, False, True, False, False)"
Name,UNSAT,"(True, False, False, False, True, True)"
Name,UNSAT,"(True, False, False, False, True, False)"
Name,UNSAT,"(True, False, False, False, False, True)"
Name,UNSAT,"(True, False, False, False, False, False)"
Name,UNSAT,"(False, True, True, True, True, True)"
Name,UNSAT,"(False, True, True, True, True, False)"
Name,1 hello! How are you?,"(False, True, True, True, False, True)"
Name,UNSAT,"(False, True, True, True, False, False)"
Name,UNSAT,"(False, True, True, False, True, True)"
Name, $a,"(False, True, True, False, True, False)"
Name, !A #B $C,"(False, True, True, False, False, True)"
Name, !1,"(False, True, True, False, False, False)"
Name,UNSAT,"(False, True, False, True, True, True)"
Name,UNSAT,"(False, True, False, True, True, False)"
Name,1# @A B C ,"(False, True, False, True, False, True)"
Name,1 ! ,"(False, True, False, True, False, False)"
Name,UNSAT,"(False, True, False, False, True, True)"
Name,UNSAT,"(False, True, False, False, True, False)"
Name,UNSAT,"(False, True, False, False, False, True)"
Name, #@ ,"(False, True, False, False, False, False)"
Name,UNSAT,"(False, False, True, True, True, True)"
Name,UNSAT,"(False, False, True, True, True, False)"
Name,12345!@#,"(False, False, True, True, False, True)"
Name,UNSAT,"(False, False, True, True, False, False)"
Name,UNSAT,"(False, False, True, False, True, True)"
Name,UNSAT,"(False, False, True, False, True, False)"
Name,UNSAT,"(False, False, True, False, False, True)"
Name,UNSAT,"(False, False, True, False, False, False)"
Name,UNSAT,"(False, False, False, True, True, True)"
Name,UNSAT,"(False, False, False, True, True, False)"
Name,UNSAT,"(False, False, False, True, False, True)"
Name,UNSAT,"(False, False, False, True, False, False)"
Name,UNSAT,"(False, False, False, False, True, True)"
Name,UNSAT,"(False, False, False, False, True, False)"
Name,UNSAT,"(False, False, False, False, False, True)"
Name,UNSAT,"(False, False, False, False, False, False)"
Email,user@example.com,"(True, True, True, True, True, True)"
Email,team.manager@example.com,"(True, True, True, True, True, False)"
Email,example@domain.,"(True, True, True, True, False, True)"
Email,john.manager@example.com.,"(True, True, True, True, False, False)"
Email,user@example,"(True, True, True, False, True, True)"
Email,user.manager@example,"(True, True, True, False, True, False)"
Email,user@example.,"(True, True, True, False, False, True)"
Email,example.manager@domain.,"(True, True, True, False, False, False)"
Email,example@domain.com@anotherdomain,"(True, True, False, True, True, True)"
Email,manager@company.com@division,"(True, True, False, True, True, False)"
Email,example@domain.com@another.com.,"(True, True, False, True, False, True)"
Email,manager@@.example.com.,"(True, True, False, True, False, False)"
Email,example@domain.com@another,"(True, True, False, False, True, True)"
Email,projectmanager@company@team,"(True, True, False, False, True, False)"
Email,example@@test.,"(True, True, False, False, False, True)"
Email,team@product@manager.,"(True, True, False, False, False, False)"
Email,@user.example,"(True, False, True, True, True, True)"
Email,@manager.com,"(True, False, True, True, True, False)"
Email,@user.name.,"(True, False, True, True, False, True)"
Email,@manager.example.,"(True, False, True, True, False, False)"
Email,@user123,"(True, False, True, False, True, True)"
Email,@manager123,"(True, False, True, False, True, False)"
Email,@testuser.,"(True, False, True, False, False, True)"
Email,@manager.,"(True, False, True, False, False, False)"
Email,@@example.com,"(True, False, False, True, True, True)"
Email,@manager@domain.com,"(True, False, False, True, True, False)"
Email,@example@domain.,"(True, False, False, True, False, True)"
Email,@manager.@example.,"(True, False, False, True, False, False)"
Email,@@testValue,"(True, False, False, False, True, True)"
Email,@manager,"(True, False, False, False, True, False)"
Email,@user@domain.,"(True, False, False, False, False, True)"
Email,@manager@.,"(True, False, False, False, False, False)"
