constraint0,constraint1,constraint2,constraint3,level,step
"(not (str.contains s "" ""))","(not (str.startsWith s ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.len s)) "".""))",0,0
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))",0,1
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")== 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,2
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))",0,3
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))))",0,4
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",1,5
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,6
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,7
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,8
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,9
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,10
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,11
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,12
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,13
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,14
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,15
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,16
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,17
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,18
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@"" 1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))",2,19
