status,result,name,truth_masks
sat,John Doe,Name,"(True, True, True, True, True, True)"
sat,John Doe,Name,"(True, True, True, True, True, False)"
sat,john smith,Name,"(True, True, True, True, False, True)"
sat,john smith,Name,"(True, True, True, True, False, False)"
unsat,,Name,"(True, True, True, False, True, True)"
unsat,,Name,"(True, True, True, False, True, False)"
sat,unrealistic name,Name,"(True, True, True, False, False, True)"
sat, a b c,Name,"(True, True, True, False, False, False)"
sat,John Smith ,Name,"(True, True, False, True, True, True)"
sat,John Doe ,Name,"(True, True, False, True, True, False)"
unsat,,Name,"(True, True, False, True, False, True)"
sat,john smith ,Name,"(True, True, False, True, False, False)"
unsat,,Name,"(True, True, False, False, True, True)"
unsat,,Name,"(True, True, False, False, True, False)"
unsat,,Name,"(True, True, False, False, False, True)"
sat, space a Space b,Name,"(True, True, False, False, False, False)"
sat,John,Name,"(True, False, True, True, True, True)"
sat,JohnDoe,Name,"(True, False, True, True, True, False)"
sat,john,Name,"(True, False, True, True, False, True)"
unsat,,Name,"(True, False, True, True, False, False)"
unsat,,Name,"(True, False, True, False, True, True)"
unsat,,Name,"(True, False, True, False, True, False)"
unsat,,Name,"(True, False, True, False, False, True)"
unsat,,Name,"(True, False, True, False, False, False)"
unsat,,Name,"(True, False, False, True, True, True)"
unsat,,Name,"(True, False, False, True, True, False)"
unsat,,Name,"(True, False, False, True, False, True)"
unsat,,Name,"(True, False, False, True, False, False)"
unsat,,Name,"(True, False, False, False, True, True)"
unsat,,Name,"(True, False, False, False, True, False)"
unsat,,Name,"(True, False, False, False, False, True)"
unsat,,Name,"(True, False, False, False, False, False)"
sat,John Smith Jr.,Name,"(False, True, True, True, True, True)"
sat,John Smith!,Name,"(False, True, True, True, True, False)"
sat,john smith Jr.,Name,"(False, True, True, True, False, True)"
sat,john 123,Name,"(False, True, True, True, False, False)"
unsat,,Name,"(False, True, True, False, True, True)"
unsat,,Name,"(False, True, True, False, True, False)"
sat, space  John  S!mith Jr.,Name,"(False, True, True, False, False, True)"
sat, a!b,Name,"(False, True, True, False, False, False)"
sat,John Smith Jr. ,Name,"(False, True, False, True, True, True)"
sat,John Smith ,Name,"(False, True, False, True, True, False)"
sat,john 123 ABC ,Name,"(False, True, False, True, False, True)"
sat,hello world! ,Name,"(False, True, False, True, False, False)"
unsat,,Name,"(False, True, False, False, True, True)"
unsat,,Name,"(False, True, False, False, True, False)"
unsat,,Name,"(False, True, False, False, False, True)"
sat,  a1 b2 c3 ,Name,"(False, True, False, False, False, False)"
sat,JohnDoe,Name,"(False, False, True, True, True, True)"
sat,John123!,Name,"(False, False, True, True, True, False)"
sat,John#Doe,Name,"(False, False, True, True, False, True)"
sat,john#smith,Name,"(False, False, True, True, False, False)"
unsat,,Name,"(False, False, True, False, True, True)"
unsat,,Name,"(False, False, True, False, True, False)"
unsat,,Name,"(False, False, True, False, False, True)"
unsat,,Name,"(False, False, True, False, False, False)"
unsat,,Name,"(False, False, False, True, True, True)"
unsat,,Name,"(False, False, False, True, True, False)"
unsat,,Name,"(False, False, False, True, False, True)"
unsat,,Name,"(False, False, False, True, False, False)"
unsat,,Name,"(False, False, False, False, True, True)"
unsat,,Name,"(False, False, False, False, True, False)"
unsat,,Name,"(False, False, False, False, False, True)"
unsat,,Name,"(False, False, False, False, False, False)"
sat,john.doe@example.com,Email,"(True, True, True, True, True, True)"
sat,john.manager@example.com,Email,"(True, True, True, True, True, False)"
sat,test.user@example.co.,Email,"(True, True, True, True, False, True)"
sat,john.manager@example.co.,Email,"(True, True, True, True, False, False)"
sat,john@domain,Email,"(True, True, True, False, True, True)"
sat,john.manager@example,Email,"(True, True, True, False, True, False)"
sat,test@example.,Email,"(True, True, True, False, False, True)"
sat,john.manager@example.com.,Email,"(True, True, True, False, False, False)"
sat,test@example.com,Email,"(True, True, False, True, True, True)"
sat,john.manager@example.com,Email,"(True, True, False, True, True, False)"
sat,test@example.com.,Email,"(True, True, False, True, False, True)"
sat,john.manager@company@domain.com.,Email,"(True, True, False, True, False, False)"
sat,john.doe@example.com,Email,"(True, True, False, False, True, True)"
sat,john.doe.manager,Email,"(True, True, False, False, True, False)"
sat,test@subdomain.example.,Email,"(True, True, False, False, False, True)"
sat,manager@company.com.,Email,"(True, True, False, False, False, False)"
