constraint0,constraint1,constraint2,constraint3,level,step
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (forall ((i String)) (=> (str.len c) 1 (isUpper (str.at c 0))))))),(exists ((c String)) (and (str.contains s c) (forall ((i String)) (=> (str.len c) 1 (isLower (str.at c 0))))))),0,0
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (str.isLower c)))),(exists ((c String)) (and (str.contains s c) (not (str.isUpper c)))),0,1
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (= c (str.to.lower c))))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to.upper c))))),0,2
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),0,3
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(>= (str.len (str.filter (lambda (x) (and (>= x ""A"") (<= x ""Z""))) s)) 1)","(>= (str.len (str.filter (lambda (x) (and (>= x ""a"") (<= x ""z""))) s)) 1)",0,4
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),0,5
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),0,6
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((c String)) (and (str.contains s c) (isLower c))),0,7
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (= c (str.to_lower c))))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to_upper c))))),0,8
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (str.is_lower c))),0,9
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (= c (str.to_lower c))))),(exists ((c String)) (and (str.contains s c) (not (= c (str.to_upper c))))),0,10
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((c String)) (and (str.contains s c) (isLower c))),0,11
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""A"" ""Z"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""a"" ""z"")))))",1,12
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""A"" ""Z"")))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.+ (re.range ""a"" ""z"")))))",0,13
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (is_upper c))),(exists ((c String)) (and (str.contains s c) (is_lower c))),0,14
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c Char)) (and (str.contains s (str.mk_string (str.to_char c))) (is_upper c))),(exists ((c Char)) (and (str.contains s (str.mk_string (str.to_char c))) (is_lower c))),0,15
,,,,0,16
,,,,0,17
,,,,0,18
,,,,0,19
